Date,Grade,Team 1,Elo_1,G_1,P_1,Sc_1,Team 2,Elo_2,G_2,P_2,Sc_2,Home,Margin,Weight,T1_win_odds,Result_T1,Result_T2
03-02-2024,League,Galway,2128,4,31,43,Westmeath,1518,1,12,15,Y,2,40,97.07%,2,-2
03-02-2024,League,Dublin,1861,0,22,22,Tipperary,2041,2,27,33,Y,1.5,40,46.55%,-28,28
03-02-2024,League,Sligo,846,4,19,31,Cavan,177,3,18,27,Y,1.148148148,40,97.75%,1,-1
03-02-2024,League,Lancashire,278,0,12,12,Longford,412,1,9,12,N,1,40,35.04%,6,-6
03-02-2024,League,Warwickshire,195,1,17,20,Leitrim,327,0,20,20,Y,1,40,52.07%,-1,1
04-02-2024,League,Clare,2095,1,25,28,Cork,2094,2,19,25,Y,1.12,40,66.72%,15,-15
04-02-2024,League,Kilkenny,2147,2,16,22,Wexford,1834,2,16,22,Y,1,40,89.40%,-16,16
04-02-2024,League,Offaly,1511,0,17,17,Waterford,1975,3,20,29,Y,1.705882353,40,19.06%,-13,13
04-02-2024,League,Limerick,2412,1,36,39,Antrim,1572,1,9,12,Y,2,40,98.96%,1,-1
04-02-2024,League,Kerry,1374,0,19,19,Carlow,1479,3,22,31,Y,1.631578947,40,55.16%,-36,36
04-02-2024,League,Laois,1487,2,18,24,Down,1183,0,17,17,Y,1.411764706,40,89.00%,6,-6
04-02-2024,League,Meath,1240,2,20,26,Kildare,1219,3,14,23,Y,1.130434783,40,68.73%,14,-14
04-02-2024,League,Roscommon,790,0,24,24,London,928,1,15,18,Y,1.333333333,40,51.38%,26,-26
04-02-2024,League,Derry,1117,2,20,26,Tyrone,885,0,16,16,Y,1.625,40,85.31%,10,-10
04-02-2024,League,Wicklow,981,0,13,13,Donegal,967,2,23,29,Y,2,40,68.03%,-54,54
04-02-2024,League,Louth,501,4,14,26,Monaghan,584,1,20,23,Y,1.130434783,40,57.65%,19,-19
04-02-2024,League,Mayo,788,1,18,21,Armagh,680,2,7,13,Y,1.615384615,40,76.64%,15,-15
10-02-2024,League,Cork,2079,1,17,20,Kilkenny,2131,0,21,21,Y,1.05,40,61.09%,-26,26
10-02-2024,League,Wexford,1850,0,20,20,Offaly,1498,1,17,20,Y,1,40,90.98%,-16,16
10-02-2024,League,Down,1177,2,23,29,Kerry,1338,1,19,22,Y,1.318181818,40,48.73%,27,-27
10-02-2024,League,Donegal,1021,0,19,19,Derry,1127,2,20,26,Y,1.368421053,40,55.05%,-30,30
10-02-2024,League,Cavan,176,3,19,28,Louth,520,1,19,22,Y,1.272727273,40,29.04%,36,-36
10-02-2024,League,Leitrim,327,1,5,8,Fermanagh,453,1,26,29,Y,2,40,52.76%,-42,42
10-02-2024,League,Longford,406,2,21,27,Warwickshire,195,1,15,18,Y,1.5,40,84.06%,10,-10
11-02-2024,League,Waterford,1988,1,16,19,Clare,2110,0,20,20,Y,1.052631579,40,53.22%,-22,22
11-02-2024,League,Tipperary,2069,1,26,29,Galway,2130,0,24,24,Y,1.208333333,40,60.11%,19,-19
11-02-2024,League,Westmeath,1516,0,17,17,Limerick,2413,1,20,23,Y,1.352941176,40,3.11%,-2,2
11-02-2024,League,Antrim,1571,1,19,22,Dublin,1833,1,20,23,Y,1.045454545,40,37.38%,-16,16
11-02-2024,League,Carlow,1515,3,22,31,Meath,1254,1,16,19,Y,1.631578947,40,86.91%,9,-9
11-02-2024,League,Kildare,1205,1,20,23,Laois,1493,3,22,31,Y,1.347826087,40,34.63%,-19,19
11-02-2024,League,Tyrone,875,0,20,20,Roscommon,816,0,11,11,Y,1.818181818,40,72.36%,20,-20
11-02-2024,League,London,902,3,30,39,Wicklow,927,1,20,23,Y,1.695652174,40,64.01%,24,-24
11-02-2024,League,Armagh,665,1,15,18,Sligo,847,2,12,18,Y,1,40,46.32%,1,-1
11-02-2024,League,Monaghan,565,0,9,9,Mayo,803,5,20,35,Y,2,40,40.01%,-32,32
24-02-2024,League,Tipperary,2088,3,25,34,Westmeath,1514,2,21,27,Y,1.259259259,40,96.56%,2,-2
24-02-2024,League,Laois,1512,0,21,21,Carlow,1524,1,23,26,Y,1.238095238,40,65.37%,-32,32
24-02-2024,League,Tyrone,895,1,17,20,Donegal,991,0,20,20,Y,1,40,56.19%,-2,2
24-02-2024,League,Fermanagh,495,1,19,22,Warwickshire,185,2,5,11,Y,2,40,89.27%,9,-9
24-02-2024,League,Leitrim,285,2,18,24,Lancashire,284,0,17,17,Y,1.411764706,40,66.72%,19,-19
25-02-2024,League,Cork,2053,1,21,24,Waterford,1966,1,19,22,Y,1.090909091,40,74.87%,11,-11
25-02-2024,League,Kilkenny,2157,1,26,29,Offaly,1514,1,19,22,Y,1.318181818,40,97.47%,1,-1
25-02-2024,League,Wexford,1834,1,13,16,Clare,2132,0,16,16,Y,1,40,33.59%,7,-7
